fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-10-16T09:32:11,Sin sesión,,,,18,HIRIPRO-01,,33.0,4.147,1.0,-24.754925,-65.395653,660.0,1.0,28.4,33.8,19.0,29.0,27.0,25.0,-24.754925,-65.395653,5.0,0.0,"12719702, 12719703, 12719704, 12719705, 12719706, 12719707, 12719708, 12719709, 12719710, 12719711, 12719712, 12719713, 12719714, 12719715, 12719716, 12719717, 12719718"
2025-10-16T09:32:08,Sin sesión,,,,18,HIRIPRO-01,,33.0,4.147,1.0,-24.754925,-65.395653,659.0,1.0,28.4,34.1,19.0,28.0,28.0,25.0,-24.754925,-65.395653,6.0,0.0,"12719685, 12719686, 12719687, 12719688, 12719689, 12719690, 12719691, 12719692, 12719693, 12719694, 12719695, 12719696, 12719697, 12719698, 12719699, 12719700, 12719701"
2025-10-16T09:32:05,Sin sesión,,,,18,HIRIPRO-01,,33.0,4.147,1.0,-24.754925,-65.39566,658.0,1.0,28.4,34.5,19.0,28.0,28.0,25.0,-24.754925,-65.39566,6.0,0.0,"12719668, 12719669, 12719670, 12719671, 12719672, 12719673, 12719674, 12719675, 12719676, 12719677, 12719678, 12719679, 12719680, 12719681, 12719682, 12719683, 12719684"
2025-10-16T09:32:01,Sin sesión,,,,18,HIRIPRO-01,,33.0,4.123,1.0,-24.754925,-65.39566,657.0,1.0,28.4,34.8,18.0,27.0,27.0,25.0,-24.754925,-65.39566,5.0,0.0,"12719651, 12719652, 12719653, 12719654, 12719655, 12719656, 12719657, 12719658, 12719659, 12719660, 12719661, 12719662, 12719663, 12719664, 12719665, 12719666, 12719667"
2025-10-16T09:31:58,Sin sesión,,,,18,HIRIPRO-01,,32.75,4.123,1.0,-24.754925,-65.39566,656.0,1.0,28.4,34.8,18.0,27.0,27.0,25.0,-24.754925,-65.39566,6.0,0.0,"12719634, 12719635, 12719636, 12719637, 12719638, 12719639, 12719640, 12719641, 12719642, 12719643, 12719644, 12719645, 12719646, 12719647, 12719648, 12719649, 12719650"
2025-10-16T09:31:55,Sin sesión,,,,18,HIRIPRO-01,,33.0,4.163,1.0,-24.754925,-65.39566,655.0,1.0,28.4,34.9,18.0,27.0,27.0,25.0,-24.754925,-65.39566,7.0,0.0,"12719617, 12719618, 12719619, 12719620, 12719621, 12719622, 12719623, 12719624, 12719625, 12719626, 12719627, 12719628, 12719629, 12719630, 12719631, 12719632, 12719633"
2025-10-16T09:31:52,Sin sesión,,,,18,HIRIPRO-01,,32.75,4.163,1.0,-24.754923,-65.395668,654.0,1.0,28.4,35.0,18.0,27.0,27.0,25.0,-24.754923,-65.395668,7.0,0.0,"12719600, 12719601, 12719602, 12719603, 12719604, 12719605, 12719606, 12719607, 12719608, 12719609, 12719610, 12719611, 12719612, 12719613, 12719614, 12719615, 12719616"
2025-10-16T09:31:48,Sin sesión,,,,18,HIRIPRO-01,,32.75,4.163,1.0,-24.754925,-65.395668,653.0,1.0,28.4,35.2,19.0,29.0,29.0,25.0,-24.754925,-65.395668,6.0,0.0,"12719583, 12719584, 12719585, 12719586, 12719587, 12719588, 12719589, 12719590, 12719591, 12719592, 12719593, 12719594, 12719595, 12719596, 12719597, 12719598, 12719599"
2025-10-16T09:31:45,Sin sesión,,,,18,HIRIPRO-01,,32.75,4.163,1.0,-24.754925,-65.395676,652.0,1.0,28.4,35.4,19.0,29.0,29.0,25.0,-24.754925,-65.395676,7.0,0.0,"12719566, 12719567, 12719568, 12719569, 12719570, 12719571, 12719572, 12719573, 12719574, 12719575, 12719576, 12719577, 12719578, 12719579, 12719580, 12719581, 12719582"
2025-10-16T09:31:42,Sin sesión,,,,18,HIRIPRO-01,,32.75,4.163,1.0,-24.754932,-65.395691,651.0,1.0,28.4,35.8,18.0,27.0,27.0,25.0,-24.754932,-65.395691,7.0,1.7,"12719549, 12719550, 12719551, 12719552, 12719553, 12719554, 12719555, 12719556, 12719557, 12719558, 12719559, 12719560, 12719561, 12719562, 12719563, 12719564, 12719565"
2025-10-16T09:31:39,Sin sesión,,,,18,HIRIPRO-01,,nan,nan,nan,nan,nan,nan,nan,28.4,36.0,18.0,28.0,28.0,25.0,-24.754974,-65.395714,7.0,0.0,"12719500, 12719501, 12719502, 12719503, 12719504, 12719505, 12719506, 12719507, 12719508, 12719509"
